FID,FRS_FACILI,REGISTRY_I,PRIMARY_NA,LOCATION_A,SUPPLEMENT,CITY_NAME,COUNTY_NAM,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NA,POSTAL_COD,FEDERAL_FA,FEDERAL_AG,TRIBAL_LAN,TRIBAL_L_1,CONGRESSIO,CENSUS_BLO,HUC_CODE,EPA_REGION,SITE_TYPE_,LOCATION_D,CREATE_DAT,UPDATE_DAT,US_MEXICO_,PGM_SYS_AC,INTEREST_T,NAICS_CODE,NAICS_CO_1,SIC_CODES,SIC_CODE_D,LATITUDE83,LONGITUDE8,CONVEYOR,COLLECT_DE,ACCURACY_V,REF_POINT_,HDATUM_DES,SOURCE_DES,Lat,Long,POINT_X,POINT_Y
75,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048749191,110048749191.000000000000000,RIO LOCO - RIO LOCO WELL,PR-2 KM.226.6, ,GUANICA,GUANICA,72055,PR,PUERTO RICO,UNITED STATES,00653, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:17:28,28-JUN-2016 11:49:19, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
76,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048154304,110048154304.000000000000000,DEPORTIVO - QUEDRADA NUEVO (PICHIS),PR-127 KM.236, ,GUAYANILLA,GUAYANILLA,72059,PR,PUERTO RICO,UNITED STATES,00656, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 13:18:24,28-JUN-2016 13:58:58, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
77,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050229490,110050229490.000000000000000,CAMPO ALEGRE WATER SYSTEM,PR-130 KM 11.5, ,HATILLO,HATILLO,72065,PR,PUERTO RICO,UNITED STATES,00659, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:45:05,28-JUN-2016 17:31:02, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
78,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110049043986,110049043986.000000000000000,QUEBRADA - CAMUY RIVER,PR-134 KM 23.4, ,HATILLO,HATILLO, ,PR,PUERTO RICO,UNITED STATES,00627, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:40:05,28-JUN-2016 15:29:29, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
79,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050229310,110050229310.000000000000000,QUEBRADA - LAS CAVERNAS,PR-134 KM 23.4, ,HATILLO,HATILLO, ,PR,PUERTO RICO,UNITED STATES,00627, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:45:02,28-JUN-2016 15:03:23, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
80,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110049779236,110049779236.000000000000000,LAVADEROS - LAVADERO,PR-345 KM 6.8, ,HORMIGUEROS,HORMIGUEROS,72067,PR,PUERTO RICO,UNITED STATES,00660, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 16:58:41,28-JUN-2016 15:21:20, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
81,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110049733776,110049733776.000000000000000,CANALIZO - CANALIZO RIVER,PR-140 KM 4.0, ,JAYUYA,JAYUYA,72073,PR,PUERTO RICO,UNITED STATES,00664, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 16:47:19,28-JUN-2016 16:54:52, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
82,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110048633109,110048633109.000000000000000,LA PICA - UNNAMED CREEK,PR-143 KM 5.0 INT, ,JAYUYA,JAYUYA,72073,PR,PUERTO RICO,UNITED STATES,00664, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 14:06:53,28-JUN-2016 16:56:37, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
83,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110050024031,110050024031.000000000000000,LAJAS - LAJAS CHANNEL,PR-116 INT PR-315, ,LAJAS,LAJAS,72079,PR,PUERTO RICO,UNITED STATES,00667, , , , ,0,0.000000000000000,0,2,STATIONARY, ,26-OCT-2012 18:00:14,28-JUN-2016 11:49:23, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
84,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110052421991,110052421991.000000000000000,ACUED. HACIENDA PLANELL - ACUED. HACIENDA PLANELL,PR-124 RAMAL 4431 KM 1.0,BO.PEZUELA FCA.ENRIQUE PLANELL,LARES,LARES,72081,PR,PUERTO RICO,UNITED STATES,00669, , , , ,0,0.000000000000000,0,2,STATIONARY, ,27-OCT-2012 11:27:52,28-JUN-2016 17:26:22, ,SFDW,WATER TREATMENT PLANT,0, , , ,0.000000000000000,0.000000000000000, , ,0, ,NAD83, ,1.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000
